id,title,author,published,genres,link
the-great-gatsby,The Great Gatsby,F. Scott Fitzgerald,1925,Classic Fiction; Romance; Social Commentary,https://en.wikipedia.org/wiki/The_Great_Gatsby
mrs-dalloway,Mrs. Dalloway,Virginia Woolf,1925,Modernism; Psychological Fiction; Social Commentary,https://en.wikipedia.org/wiki/Mrs_Dalloway
the-secret-of-chimneys,The Secret of Chimneys,Agatha Christie,1925,Mystery; Detective; Crime Fiction,https://en.wikipedia.org/wiki/The_Secret_of_Chimneys
arrowsmith,Arrowsmith,Sinclair Lewis,1925,Realism; Satire; Social Commentary,https://en.wikipedia.org/wiki/Arrowsmith_(novel)
those-barren-leaves,Those Barren Leaves,Aldous Huxley,1925,Satire; Modernism; Social Commentary,https://en.wikipedia.org/wiki/Those_Barren_Leaves
an-american-tragedy,An American Tragedy,Theodore Dreiser,1925,Naturalism; Crime Fiction; Social Commentary,https://en.wikipedia.org/wiki/An_American_Tragedy
the-painted-veil,The Painted Veil,W. Somerset Maugham,1925,Drama; Romance; Social Commentary,https://en.wikipedia.org/wiki/The_Painted_Veil_(novel)
a-daughter-of-the-samurai,A Daughter of the Samurai,Etsu Inagaki Sugimoto,1925,Autobiographical Fiction; Cultural Fiction; Historical Fiction,https://en.wikipedia.org/wiki/A_Daughter_of_the_Samurai
